port_name,E_min,E_max,buffer_time,ship_name
SAMPIT,1.7,6,4,KM.LAWIT
KUMAI,0.5,6,2,KM.LAWIT
KUMAI,0.6,6,2,KM.KELIMUTU
KUMAI,0.6,6,2,KM.AWU
PONTIANAK,0.9,6,2,KM.KELIMUTU
PONTIANAK,0.9,6,2,KM.BUKITRAYA
MERAUKE,3.8,6,2,KM.TATAMAILAU
MERAUKE,3.8,6,2,KM.SIRIMAU
MERAUKE,3.6,6,2,KM.LEUSER
AGATS,1.2,6,2,KM.TATAMAILAU
AGATS,1.1,6,2,KM.SIRIMAU
AGATS,1.4,6,2,KM.LEUSER
TIMIKA,1,6,2,KM.TATAMAILAU
TIMIKA,1.1,6,2,KM.SIRIMAU
TIMIKA,1.1,6,2,KM.LEUSER
BATAM,0.6,6,1,KM.KELUD
MAKASSAR,0.2,6,0,KM.CIREMAI
MAKASSAR,0.3,6,0,KM.DOBONSOLO
SORONG,0.3,6,0,KM.CIREMAI
SORONG,0.2,6,0,KM.DOBONSOLO
JAYAPURA,0.3,6,0,KM.CIREMAI
JAYAPURA,0.3,6,0,KM.DOBONSOLO
MANOKWARI,0,1.9,0,KM.DOBONSOLO
AMBON,0.2,6,0,KM.CIREMAI
WAINGAPU,0.4,6,0,KM.EGON
LEMBAR,0.2,6,0,KM.EGON
BATULICIN,0.5,6,0,KM.EGON
BONTANG,0.4,6,0,KM.EGON
